parent,relation,child
207,inheritance,910
207,inheritance,212
207,inheritance,622
207,inheritance,956
207,inheritance,774
207,inheritance,640
207,inheritance,235
207,inheritance,765
207,inheritance,305
207,inheritance,538
207,inheritance,10
207,inheritance,260
207,inheritance,1203
207,inheritance,984
208,precedes,210
208,inheritance,149
209,inheritance,109
209,inheritance,113
209,inheritance,287
209,subframe,210
209,subframe,133
209,subframe,208
209,subframe,138
209,subframe,136
209,subframe,122
209,subframe,132
209,subframe,139
209,using,515
209,subframe,794
209,subframe,795
210,inheritance,164
213,using,72
213,using,300
216,using,219
216,inheritance,158
216,see_also,927
216,see_also,219
216,using,1071
217,inheritance,1221
217,inheritance,1236
219,using,617
219,using,728
221,using,182
221,using,286
221,using,357
221,inheritance,537
221,precedes,289
221,using,1114
224,inheritance,1144
226,using,934
226,inheritance,708
226,inheritance,1455
226,inheritance,1460
226,inheritance,1050
226,inheritance,390
226,inheritance,276
226,inheritance,957
229,using,123
229,using,717
235,causative_of,454
237,using,259
237,using,77
244,using,408
244,inheritance,832
249,inheritance,250
249,inheritance,606
25,inheritance,254
25,inheritance,592
25,inheritance,770
25,inheritance,553
25,using,1124
255,inheritance,377
255,inheritance,253
255,inheritance,372
255,inheritance,223
255,inheritance,7
255,inheritance,750
255,inheritance,243
267,causative_of,767
269,precedes,767
27,using,616
27,using,697
27,inheritance,1558
277,subframe,287
280,inchoative_of,281
281,using,643
285,using,468
286,using,781
286,precedes,781
288,inheritance,461
288,inchoative_of,439
288,precedes,439
289,inheritance,781
289,using,1116
291,inheritance,255
291,using,621
301,using,213
305,causative_of,909
314,using,979
315,subframe,751
323,causative_of,329
324,using,707
324,using,711
324,using,744
326,using,145
326,inheritance,504
326,inheritance,636
326,using,797
326,inheritance,1105
326,inheritance,1015
326,using,1198
330,using,328
334,using,648
334,using,1136
335,see_also,324
335,inheritance,324
335,inheritance,1318
335,inheritance,607
335,inheritance,705
338,inheritance,742
338,using,629
338,using,417
34,using,415
347,inheritance,46
347,inheritance,845
347,inheritance,38
347,inheritance,68
347,inheritance,1433
348,using,743
348,see_also,792
348,see_also,691
348,using,984
