HubNode,FrameElements
ClusterHub_49,Being_obligated.Consequence;Being_obligatory.Consequence;Conditional_scenario.Anti_consequence;Negative_conditional.Anti_consequence;Obligation_scenario.Consequence;Preferred_alternative_scenario.Undesirable_consequence;Required_event.Negative_consequences
ClusterHub_50,Inherent_purpose.Apparatus;Tool_purpose.Tool
ClusterHub_51,Body_movement.Area;Bringing.Area;Burying.Area;Cause_fluidic_motion.Area;Cause_motion.Area;Cotheme.Area;Departing.Place;Escaping.Place;Evading.Area;Fluidic_motion.Area;Installing.Area;Mass_motion.Area;Motion.Area;Motion_directional.Area;Motion_noise.Area;Motion_scenario.Area;Operate_vehicle.Area;Operate_vehicle_scenario.Area;Passing.Area;Placing.Area;Quitting_a_place.Place;Ride_vehicle.Area;Self_motion.Area;Shoot_projectiles.Area;Shooting_scenario.Area;Storing.Area;Travel.Area;Use_firearm.Area;Use_vehicle.Area;Visit_host_departure.Place;Visiting_scenario_departing.Place;Visitor_departure.Place
ClusterHub_52,Intentional_traversing.Place;Path_shape.Area;Traversing.Area
ClusterHub_53,Being_operational.Object;Render_nonfunctional.Artifact
ClusterHub_54,Ammunition.Ammunition;Artifact.Artifact;Artifact_subpart.Artifact;Body_decoration.Decoration;Building_subparts.Whole;Buildings.Building;Closure.Containing_object;Closure.Fastener;Clothing.Garment;Clothing_parts.Clothing;Compliance.Norm;Connectors.Connector;Controller_object.Control;Create_physical_artwork.Representation;Create_representation.Representation;Fastener.Container;Fastener.Fastener;Fire_break.Fire_break;Gizmo.Gizmo;Government_institution.Institution;Information_display.Display;Infrastructure.Infrastructure;Institutions.Institution;Judicial_body.Judicial_body;Key.Key;Law.Law;Law_enforcement_agency.Agency;Legality.Code;Materials_used_in_healthcare.Instrument;Medium.Text;Money.Money;Musical_instruments.Musical_instrument;Noise_makers.Noise_maker;Object_of_knowledge.Area_of_knowledge;Object_of_knowledge.Object;Physical_artworks.Artifact;Prohibiting_or_licensing.Principle;Public_services.Institution;Records.Record;Satisfying.Standard;School_Supplies.School_Supply;School_Supplies.Usage;Teaching_learning_process.Student;Teaching_resource.Teaching_resource;Text.Text;Text_subpart.Text;Textual_Genre.Textual_Genre;Toys.Toy;Vehicle.Vehicle;Vehicle_subpart.Whole;Weapon.Weapon
ClusterHub_55,Armor.Asset;Being_at_risk.Asset;Precariousness.Theme;Protecting.Asset;Rescuing.Asset;Risk_scenario.Asset;Risky_situation.Asset;Run_risk.Asset;Wagering.Asset
ClusterHub_56,Athletes.Athlete;Athletes_by_position.Position;Athletes_by_position.Team;Athletes_by_sport.Athlete;Coaching_staff.Coaching_staff;Crowd.Fans;Crowd_reactions.Crowd;Delegation.Delegation;Sports_equipment.Equipment;Sports_venues.Venue;Sports_venues_subparts.Venue
ClusterHub_57,Individual_moves.Athlete;Interactive_moves.Athlete_1;Moves.Athlete;Sports_event.Sport;Winning_moves.Athlete
ClusterHub_58,Elimination_tournament.Team_1;Elimination_tournament.Team_2;Elimination_tournament.Teams;Finals.Athletes;Finals.Loser;Finals.Winner;Preliminary_stage.Athlete_1;Preliminary_stage.Athlete_2;Preliminary_stage.Athletes;Sports_event.Athletes
