superFE,relation,subFE
1534,inheritance,7791
1534,using,4863
7376,using,7445
7376,using,7454
7445,see_also,7454
7677,inheritance,181
7677,using,230
7677,using,6552
7677,using,7376
10133,perspective_on,181
10133,using,10142
3792,using,942
3792,using,2349
7257,using,10741
11335,inheritance,11203
11335,inheritance,11243
7956,inheritance,7966
7966,inheritance,7940
2242,see_also,2549
2242,using,2549
68,inheritance,7521
587,using,10126
2267,perspective_on,5952
7624,inheritance,1613
7624,inheritance,4778
7624,inheritance,2173
7624,inheritance,1603
7624,inheritance,1585
7624,inheritance,1607
7635,inheritance,9281
7635,perspective_on,7624
7635,inheritance,13181
9281,perspective_on,2173
13181,perspective_on,1603
11762,subframe,11759
11762,subframe,12318
1976,subframe,2876
1976,using,4241
2699,inheritance,3869
2699,inheritance,2669
2699,inheritance,3830
2699,inheritance,2465
2699,inheritance,7485
2699,inheritance,2384
2699,inheritance,68
2699,inheritance,7374
2699,inheritance,2550
3057,inheritance,2699
3057,using,6078
66,inheritance,7520
2693,inheritance,3868
2693,inheritance,2667
2693,inheritance,3829
2693,inheritance,2458
2693,inheritance,7483
2693,inheritance,2378
2693,inheritance,66
2693,inheritance,7367
2693,inheritance,2549
3066,inheritance,2693
7483,using,7469
4541,subframe,4218
4541,subframe,4545
5276,inheritance,4480
211,using,4727
211,using,8047
6410,using,6747
10072,using,10083
10073,using,10084
7261,using,10173
9775,using,9786
9992,using,10055
10004,perspective_on,9992
10055,inheritance,10091
10223,subframe,10227
10227,inheritance,9992
10227,inheritance,10004
3529,inheritance,3423
3529,inheritance,12174
3529,inheritance,5914
3529,inheritance,6891
1336,precedes,1993
1336,subframe,1343
1336,subframe,1431
1336,subframe,1437
1979,subframe,1336
1979,subframe,1993
1979,using,4237
1993,perspective_on,3077
1993,precedes,2875
1993,subframe,3045
1983,using,4238
4940,inheritance,4946
4940,inheritance,4971
4940,inheritance,5140
4940,inheritance,7062
4940,inheritance,1194
4940,inheritance,9404
4940,inheritance,9817
4940,inheritance,953
4940,inheritance,9656
4940,using,8321
5045,inheritance,4940
5045,inheritance,2081
5045,inheritance,5851
5045,inheritance,6110
5045,inheritance,6352
5045,inheritance,6774
5045,inheritance,7038
5045,inheritance,3572
5045,inheritance,6983
5045,inheritance,1109
5045,inheritance,6531
5045,inheritance,4166
5045,inheritance,6749
5045,inheritance,5017
5045,inheritance,3602
5045,inheritance,4054
5045,inheritance,994
5045,inheritance,1282
5045,inheritance,3445
5045,inheritance,2241
5045,inheritance,1615
5045,inheritance,2085
5045,inheritance,3566
5045,inheritance,6681
