loja de colchões.n,qla_subtype_of,loja.n
loja de conveniência.n,qla_subtype_of,loja.n
loja de costura.n,qla_subtype_of,loja.n
loja de decoração.n,qla_subtype_of,loja.n
loja de departamento.n,qla_subtype_of,loja.n
loja de discos.n,qla_subtype_of,loja.n
loja de eletrodomésticos.n,qla_subtype_of,loja.n
loja de eletrônicos.n,qla_subtype_of,loja.n
loja de jogos.n,qla_subtype_of,loja.n
loja de madeiras.n,qla_subtype_of,loja.n
loja de materiais artísticos.n,qla_subtype_of,loja.n
loja de materiais de construção.n,qla_subtype_of,loja.n
loja de materiais para artesanato.n,qla_subtype_of,loja.n
loja de música.n,qla_subtype_of,loja.n
loja de presentes.n,qla_subtype_of,loja.n
loja de produtos naturais.n,qla_subtype_of,loja.n
loja de roupa.n,qla_subtype_of,loja.n
loja de roupas de banho.n,qla_subtype_of,loja.n
loja de roupas de cama.n,qla_subtype_of,loja.n
loja de roupas de praia.n,qla_subtype_of,loja.n
loja de videogame.n,qla_subtype_of,loja.n
oficina de carroceria.n,qla_subtype_of,loja.n
ótica.n,qla_subtype_of,loja.n
perfumaria.n,qla_subtype_of,loja.n
pet shop.n,qla_subtype_of,loja.n
provedor de internet.n,qla_subtype_of,loja.n
serviço de ajuste de roupas.n,qla_subtype_of,loja.n
bistrô.n,qla_subtype_of,restaurante.n
hamburgueria.n,qla_subtype_of,restaurante.n
mercado.n,qla_subtype_of,loja.n
mercearia.n,qla_subtype_of,loja.n
pastelaria.n,qla_subtype_of,lanchonete.n
food truck.n,qla_subtype_of,lanchonete.n
pesque-pague.n,qla_subtype_of,estabelecimento.n
pesqueiro.n,qla_subtype_of,estabelecimento.n
restaurante.n,qla_subtype_of,estabelecimento.n
self-service.a,qla_subtype_of,restaurante.n
sorveteria.n,qla_subtype_of,lanchonete.n
supermercado.n,qla_subtype_of,loja.n
trailer.n,qla_subtype_of,lanchonete.n
azeite de dendê.n,qla_subtype_of,azeite.n
caldo.n,qla_subtype_of,sopa.n
carne-seca.n,qla_subtype_of,carne.n
carneiro.n,qla_subtype_of,carne.n
catupiry.n,qla_subtype_of,queijo.n
charque.n,qla_subtype_of,carne-seca.n
cheddar.n,qla_subtype_of,queijo.n
chimarrão.n,qla_subtype_of,bebida.n
